TITLE, YEAR, RATING
"Forbidden Planet", 1956, ?
"The 39 Steps", 1935, ?
"Rio Bravo", 1959, ?
"Aguirre: The Wrath of God", 1972, ?
"Bob Roberts", 1992, ?
"Family Game", 1984, ?
"The Taste of Tea", 2003, ?
"Gerry", 2002, ?
"Bubba Ho-Tep", 2002, ?
"Rushmore", 1998, ?
"Guy and Madeline on a Park Bench", 2009, ?
"Friedkin Uncut", 2018, ?
"Us", 2019, ?
"Captains of the Sands", 2011, ?
"The Salt of the Earth", 2014, ?
"Pixote", 1981, ?
"Black Orpheus", 1959, ?
"O Quatrilho", 1995, ?
"Sing Street", 2016, ?
"Room", 2015, ?
"Jackass Presents: Bad Grandpa", 2013, ?
"Tomboy", 2011, ?
"Mandela: Long Walk to Freedom", 2013, ?
"Dear Mr. Watterson", 2013, ?
"Medea", 1987, ?
"Side by Side", 2012, ?
"The Summit", 2012, ?
"The Crazies", 1973, ?
"Future Weather", 2012, ?
"Leviathan", 2012, ?
"The Silence", 2015, ?
"Stoker", 2013, ?
"Sleep Dealer", 2008, ?
"Star Trek Generations", 1994, ?
"Star Trek: First Contact", 1996, ?
"Enter the Void", 2009, ?
"Equus", 1977, ?
"The Boss of It All", 2006, ?
"Koyaanisqatsi", 1982, ?
"Naqoyqatsi", 2002, ?
"Powaqqatsi", 1988, ?
"Citizen Kane", 1941, ?
"Poe", 2012, ?
"Eccentricities of a Blond Hair Girl", 2009, ?
"The Last of the Mohicans", 1992, ?
"One Flew Over the Cuckoo's Nest", 1975, ?
"The Imaginarium of Doctor Parnassus", 2009, ?
"Clash of the Titans", 1981, ?
"Paranormal Activity", 2007, ?
"Beautiful Boxer", 2004, ?
"Jaws III", 1983, ?
"Teenage Mutant Ninja Turtles", 1990, ?
"Reign Over Me", 2007, ?
"Last Chance Harvey", 2008, ?
"Good Work", 1999, ?
"Syndromes and a Century", 2006, ?
"Mulholland Dr.", 2001, ?
"Half Nelson", 2006, ?
"4 Months, 3 Weeks and 2 Days", 2007, ?
"Elephant", 2003, ?
"In the Loop", 2009, ?
"O Brother, Where Art Thou?", 2000, ?
"Caché", 2005, ?
"Once", 2006, ?
"Gosford Park", 2001, ?
"Junebug", 2005, ?
"Dancer", 2000, ?
"The Fox and the Child", 2007, ?
"In America", 2002, ?
"Whale Rider", 2002, ?
"Iraq in Fragments", 2006, ?
"High Fidelity", 2000, ?
"Grizzly Man", 2005, ?
"Flight of the Red Balloon", 2007, ?
"The Squid and the Whale", 2005, ?
"Kramer vs. Kramer", 1979, ?
"Manhattan", 1979, ?
"The Hours", 2002, ?
"To the Left of the Father", 2001, ?
"Recount", 2008, ?
"Synecdoche, New York", 2008, ?
"City of Men", 2007, ?
"Norma Rae", 1979, ?
"New York, I Love You", 2009, ?
"Babel", 2006, ?
"Elizabeth", 1998, ?
"Young Guns II", 1990, ?
"Flags of Our Fathers", 2006, ?
"Evita", 1996, ?
"The Elephant Man", 1980, ?
"Easy Rider", 1969, ?
"Les Miserables", 1998, ?
"Empire of the Sun", 1987, ?
"The Texas Chainsaw Massacre", 2003, ?
"Boys Don't Cry", 1999, ?
"Casino", 1995, ?
"Behind Enemy Lines", 2001, ?
"Scarface", 1983, ?
"Giant", 1956, ?
"Brazil", 1985, ?
"The Manchurian Candidate", 1962, ?
"Robinson Crusoe", 1997, ?
"Once Upon a Time in America", 1984, ?
"The 300 Spartans", 1962, ?
"Dogville", 2003, ?
"The War of the Worlds", 1953, ?
"Ocean's Eleven", 1960, ?
"The Intern", 2015, 4
"Collateral Beauty", 2016, 3
"Project Power", 2020, 1
"Time Trap", 2017, 2
"Love Story", 1970, 5
"They Live", 1988, 4
"The Equalizer", 2014, 1
"Monster-in-Law", 2005, 1
"Where Hope Grows", 2014, 1
"The Proposal", 2009, 1
"Astro Boy", 2009, 1
"Scary Movie 2", 2001, 2
"Scary Movie 3", 2003, 3
"Last Holiday", 2006, 2
"Big Miracle", 2012, 2
"Greyhound", 2020, 2
"Race to Witch Mountain", 2009, 1
